IATA_CODE,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,LOAD_TIMESTAMP,AIRPORT_SIZE_CATEGORY,REGION,CONTINENT_GROUP,LOCATION_VALIDATION,RECORD_YEAR
CLD,San Diego,CA,USA,33.12723,-117.27873,2025-11-26 03:35:24.903 -0800,LARGE,WEST,NORTH_AMERICA,VALID,2025
CLE,Cleveland,OH,USA,41.41089,-81.8494,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
CLL,College Station,TX,USA,30.58859,-96.36382,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
CLT,Charlotte,NC,USA,35.21401,-80.94313,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CMH,Columbus,OH,USA,39.99799,-82.89188,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
CMI,Champaign/Urbana,IL,USA,40.03925,-88.27806,2025-11-26 03:35:24.903 -0800,MEDIUM,MIDWEST,NORTH_AMERICA,VALID,2025
CMX,Hancock,MI,USA,47.16842,-88.48906,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
CNY,Moab,UT,USA,38.75496,-109.75484,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
COD,Cody,WY,USA,44.52019,-109.0238,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
COS,Colorado Springs,CO,USA,38.80581,-104.70025,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
COU,Columbia,MO,USA,38.81809,-92.21963,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CPR,Casper,WY,USA,42.90836,-106.46447,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CRP,Corpus Christi,TX,USA,27.77036,-97.50122,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
CRW,Charleston,WV,USA,38.37315,-81.59319,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CSG,Columbus,GA,USA,32.51633,-84.93886,2025-11-26 03:35:24.903 -0800,REGIONAL,SOUTH,NORTH_AMERICA,VALID,2025
CVG,Covington,KY,USA,39.04614,-84.66217,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
CWA,Mosinee,WI,USA,44.77762,-89.66678,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
DAB,Daytona Beach,FL,USA,29.17992,-81.05806,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
DAL,Dallas,TX,USA,32.84711,-96.85177,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
DAY,Dayton,OH,USA,39.90238,-84.21938,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
DBQ,Dubuque,IA,USA,42.40296,-90.70917,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
DCA,Arlington,VA,USA,38.85208,-77.03772,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
DEN,Denver,CO,USA,39.85841,-104.667,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
DFW,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
DHN,Dothan,AL,USA,31.32134,-85.44963,2025-11-26 03:35:24.903 -0800,REGIONAL,SOUTH,NORTH_AMERICA,VALID,2025
DIK,Dickinson,ND,USA,46.79739,-102.80195,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
DLG,Dillingham,AK,USA,59.04541,-158.50334,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
DLH,Duluth,MN,USA,46.84209,-92.19365,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
DRO,Durango,CO,USA,37.15152,-107.75377,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
DSM,Des Moines,IA,USA,41.53493,-93.66068,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
DTW,Detroit,MI,USA,42.21206,-83.34884,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
DVL,Devils Lake,ND,USA,48.11425,-98.90878,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
EAU,Eau Claire,WI,USA,44.86526,-91.48507,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
ECP,Panama City,FL,USA,,,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,INVALID,2025
EGE,Eagle,CO,USA,39.64257,-106.9177,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
EKO,Elko,NV,USA,40.82493,-115.7917,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ELM,Elmira,NY,USA,42.15991,-76.89144,2025-11-26 03:35:24.903 -0800,MEDIUM,NORTHEAST,NORTH_AMERICA,VALID,2025
ELP,El Paso,TX,USA,31.80667,-106.37781,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
ERI,Erie,PA,USA,42.08202,-80.17622,2025-11-26 03:35:24.903 -0800,REGIONAL,NORTHEAST,NORTH_AMERICA,VALID,2025
ESC,Escanaba,MI,USA,45.72267,-87.09373,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
EUG,Eugene,OR,USA,44.12326,-123.21869,2025-11-26 03:35:24.903 -0800,REGIONAL,WEST,NORTH_AMERICA,VALID,2025
EVV,Evansville,IN,USA,38.03799,-87.53063,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
EWN,New Bern,NC,USA,35.07297,-77.04294,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
EWR,Newark,NJ,USA,40.6925,-74.16866,2025-11-26 03:35:24.903 -0800,REGIONAL,NORTHEAST,NORTH_AMERICA,VALID,2025
EYW,Key West,FL,USA,24.55611,-81.75956,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
FAI,Fairbanks,AK,USA,64.81368,-147.85967,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
FAR,Fargo,ND,USA,46.91935,-96.81499,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
FAT,Fresno,CA,USA,36.77619,-119.71814,2025-11-26 03:35:24.903 -0800,LARGE,WEST,NORTH_AMERICA,VALID,2025
FAY,Fayetteville,NC,USA,34.99147,-78.88,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
FCA,Kalispell,MT,USA,48.3114,-114.25507,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
FLG,Flagstaff,AZ,USA,35.13845,-111.67122,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
FLL,Ft. Lauderdale,FL,USA,26.07258,-80.15275,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
FNT,Flint,MI,USA,42.9655,-83.74346,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
FSD,Sioux Falls,SD,USA,43.58135,-96.7417,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
FSM,Fort Smith,AR,USA,35.33659,-94.36744,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
