DATE_SK,YEAR,MONTH,DAY
fad22c08d3a5e0e2f6c650511dda85e7,2015,7,27
52ae35da9f81425951bf078e762238a5,2015,7,28
5923f29baee9205605fa8abf5992ab3e,2015,7,29
5e931c3c0e12438779c101b408361dd2,2015,7,30
0b50b72b6e64ef876c261750ac056955,2015,7,31
5cbc4f60db1ab4e3066fc76b3007d064,2015,8,1
d277a55a0daa76974aece7aaa3ec4048,2015,8,2
8e4ff89315157f9664f4665dd1c06eb8,2015,8,3
def3c04c4a1eee5d170a4a905d214ad5,2015,8,4
b13e1462a596b37cdf981d4cc8e7eb71,2015,8,5
af3841e60b791625a9ad54a9da71be04,2015,8,6
8fe4237a82393593e42e079cfeac575d,2015,8,7
7768c591d4c61b726bc12691ecde25ca,2015,8,8
0acbf3e3e2d659f4e2581300b4f708e9,2015,8,9
f707aaa381485e148d5324c77273f309,2015,8,10
36e5f5d1509af642fa85539612e579d2,2015,8,11
9a32c67b2f898d67a17a2b502c900d42,2015,8,12
c53915b3387fe84a550e914bbcea8ef8,2015,8,13
cb93703bc2e9636465a2a64faa592da6,2015,8,14
b8da373d23ff8e0a8f576193662ffeb5,2015,8,15
3d78f52006afb5f72f8f60101c8e3d77,2015,8,16
7ab095fdcc11bfb26360591b192c3bd2,2015,8,17
c6f3d3153ce9c1e3025070a680c46f5b,2015,8,18
68048ed9abe05ae1bbee102a6cc0d04e,2015,8,19
335b28a46112cd252593a8588d07ad48,2015,8,20
99bf0015852aa115a6edc56671bbd898,2015,8,21
f36e3abb71daee99d7ecdc6b90da157d,2015,8,22
a702b9b0eed31a9f03990e53c104edd1,2015,8,23
1d30009ac5055c6f9e5ba7005f7b18df,2015,8,24
ab0670bd92567602d2aad351c3debbaa,2015,8,25
df560010b09ea5182daa2a73973f0943,2015,8,26
65b8bbd8b9dd63b829ce09fdd92ca703,2015,8,27
b3f15ba738c3ed55fbcc92f9920e1eaa,2015,8,28
8d6b925c43b8799674d60524f96de1ac,2015,8,29
f93c1202724ffeb8175fa49751ecbea1,2015,8,30
ddad2b9058dbe6ca98709b2c4cb674bc,2015,8,31
3d50f6cb8ee6514798ca3947aa0d8de6,2015,9,1
2f24b2fbcedb58d33e65a963e036b174,2015,9,2
bdd44d5e1153a550f88499677e4bd25b,2015,9,3
86837dc1d8b5d8f522439d74f70f7ca4,2015,9,4
d63ab784953391404ae77a15ae268376,2015,9,5
811144fe4e3cea0793e5a8231e5dfd45,2015,9,6
b670203fe9e865c01c1ef5b8a290c21e,2015,9,7
2fdb6b93b13ee2ea38fdc47e7a55d2c0,2015,9,8
0a29f01439c79ce016f0745e276b3708,2015,9,9
ee9dad7873075d7e497cad0baa4f5b4b,2015,9,10
644fa8c261c80a12c1969965cc665647,2015,9,11
c64574327009b1c37c173b922e0ca8fe,2015,9,12
28ebac38faabe28704a8b84a1b9c73af,2015,9,13
cc2cfb66226aba692ab1fef01968175d,2015,9,14
