DATE_SK,AIRLINE_SK,ORIGIN_AIRPORT_SK,DESTINATION_AIRPORT_SK,DEPARTURE_DELAY,ARRIVAL_DELAY,TOTAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DISTANCE,CANCELLED,DIVERTED,ON_TIME_FLAG,LOAD_TIMESTAMP,FLIGHT_DATE
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,4b6544406098f683478fca26b2589e6d,41bf80d3ffe05d483ff2a339f8eac566,12,25,37,25.00000,0.00000,0.00000,0.00000,0.00000,1487,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,7516fd43adaa5e0b8a65a672c39845d2,f1f5aacec9d4156166560b9a5cb62640,5cd6e4fb660220e97088efe8987a0f7f,-10,-31,-41,0.00000,0.00000,0.00000,0.00000,0.00000,1916,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,d622dafa9ced7bbde05af58d76115475,637d536065e18d89c0f1c21fce509ce1,21,2,23,0.00000,0.00000,0.00000,0.00000,0.00000,1709,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,1375575710990aaefeb0228d672c5521,c23431d0209648a6b31fa837dd56d681,72,43,115,43.00000,0.00000,0.00000,0.00000,0.00000,1440,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,1375575710990aaefeb0228d672c5521,637d536065e18d89c0f1c21fce509ce1,-11,-16,-27,0.00000,0.00000,0.00000,0.00000,0.00000,1972,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,a2c29192484301fa800100e16e494acf,00a25a0eed961a97a2a312ed96b66a23,9abd3d9b983e99aa1fd94837498b0bea,,,,0.00000,0.00000,0.00000,0.00000,0.00000,1448,1,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,f5ce9f5cb682a1f863d5a8c51ac28683,6bad82127b1712ba0e58b7d10e8e30df,c25c66f8ac4fc39070aaa75c4c58c91a,-6,10,4,0.00000,0.00000,0.00000,0.00000,0.00000,1590,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,f1f5aacec9d4156166560b9a5cb62640,16398053b0ee1ac75460202a32bee818,-4,-4,-8,0.00000,0.00000,0.00000,0.00000,0.00000,1222,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,594c16ca0695f6665d7cf4971707adf6,f1f5aacec9d4156166560b9a5cb62640,a5bc417468d5c8c378672f6bdd2e0c90,0,15,15,0.00000,0.00000,15.00000,0.00000,0.00000,2762,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,7516fd43adaa5e0b8a65a672c39845d2,00a25a0eed961a97a2a312ed96b66a23,1375575710990aaefeb0228d672c5521,-9,-10,-19,0.00000,0.00000,0.00000,0.00000,0.00000,2552,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
